gene,lable
hsa-miR-204-5p,1
hsa-miR-205-5p,1
hsa-miR-2052,1
hsa-miR-2053,1
hsa-miR-2054,1
hsa-miR-206,1
hsa-miR-208a-5p,1
hsa-miR-208b-5p,1
hsa-miR-20a-5p,1
hsa-miR-20b-5p,1
hsa-miR-21-5p,1
hsa-miR-210-5p,1
hsa-miR-211-5p,1
hsa-miR-2110,1
hsa-miR-2113,1
hsa-miR-2114-5p,1
hsa-miR-2115-5p,1
hsa-miR-2116-5p,1
hsa-miR-2117,1
hsa-miR-212-5p,1
hsa-miR-214-5p,1
hsa-miR-215-5p,1
hsa-miR-216a-5p,1
hsa-miR-216b-5p,1
hsa-miR-217,1
hsa-miR-218-5p,1
hsa-miR-219a-5p,1
hsa-miR-219b-5p,1
hsa-miR-22-5p,1
hsa-miR-221-5p,1
hsa-miR-222-5p,1
hsa-miR-223-5p,1
hsa-miR-224-5p,1
hsa-miR-2276-5p,1
hsa-miR-2277-5p,1
hsa-miR-2278,1
hsa-miR-2355-5p,1
hsa-miR-2392,1
hsa-miR-23a-5p,1
hsa-miR-23b-5p,1
hsa-miR-23c,1
hsa-miR-24-1-5p,1
hsa-miR-24-2-5p,1
hsa-miR-2467-5p,1
hsa-miR-25-5p,1
hsa-miR-2681-5p,1
hsa-miR-2682-5p,1
hsa-miR-26a-5p,1
hsa-miR-26b-5p,1
hsa-miR-27a-5p,1
hsa-miR-27b-5p,1
hsa-miR-28-5p,1
hsa-miR-2861,1
hsa-miR-2909,1
hsa-miR-296-5p,1
hsa-miR-297,1
hsa-miR-298,1
hsa-miR-299-5p,1
hsa-miR-29a-5p,1
hsa-miR-29b-1-5p,1
hsa-miR-29b-2-5p,1
hsa-miR-29c-5p,1
hsa-miR-300,1
hsa-miR-301a-5p,1
hsa-miR-301b-3p,1
hsa-miR-302a-5p,1
hsa-miR-302b-5p,1
hsa-miR-302c-5p,1
hsa-miR-302d-5p,1
hsa-miR-302e,1
hsa-miR-302f,1
hsa-miR-3064-5p,1
hsa-miR-3065-5p,1
hsa-miR-3074-5p,1
hsa-miR-30a-5p,1
hsa-miR-30b-5p,1
hsa-miR-30c-5p,1
hsa-miR-30d-5p,1
hsa-miR-30e-5p,1
hsa-miR-31-5p,1
hsa-miR-3115,1
hsa-miR-3116,1
hsa-miR-3117-5p,1
hsa-miR-3118,1
hsa-miR-3119,1
hsa-miR-3120-5p,1
hsa-miR-3121-5p,1
hsa-miR-3122,1
hsa-miR-3123,1
hsa-miR-3124-5p,1
hsa-miR-3125,1
hsa-miR-3126-5p,1
hsa-miR-3127-5p,1
hsa-miR-3128,1
hsa-miR-3129-5p,1
hsa-miR-3130-5p,1
hsa-miR-3131,1
hsa-miR-3132,1
hsa-miR-3133,1
hsa-miR-3134,1
hsa-miR-3135a,1
hsa-miR-3135b,1
hsa-miR-3136-5p,1
hsa-miR-3137,1
hsa-miR-3138,1
hsa-miR-3139,1
hsa-miR-3140-5p,1
hsa-miR-3141,1
hsa-miR-3142,1
hsa-miR-3143,1
hsa-miR-3144-5p,1
hsa-miR-3145-5p,1
hsa-miR-3146,1
hsa-miR-3147,1
hsa-miR-3148,1
hsa-miR-3149,1
hsa-miR-3150a-5p,1
hsa-miR-3150b-5p,1
hsa-miR-3151-5p,1
hsa-miR-3152-5p,1
hsa-miR-3153,1
hsa-miR-3154,1
hsa-miR-3155a,1
hsa-miR-3155b,1
hsa-miR-3156-5p,1
hsa-miR-3157-5p,1
hsa-miR-3158-5p,1
hsa-miR-3159,1
hsa-miR-3160-5p,1
hsa-miR-3161,1
hsa-miR-3162-5p,1
hsa-miR-3163,1
hsa-miR-3164,1
hsa-miR-3165,1
hsa-miR-3166,1
hsa-miR-3167,1
hsa-miR-3168,1
hsa-miR-3169,1
hsa-miR-3170,1
hsa-miR-3171,1
hsa-miR-3173-5p,1
hsa-miR-3174,1
hsa-miR-3175,1
hsa-miR-3176,1
hsa-miR-3177-5p,1
hsa-miR-3178,1
hsa-miR-3179,1
hsa-miR-3180-5p,1
hsa-miR-3180,1
hsa-miR-3181,1
hsa-miR-3182,1
hsa-miR-3183,1
hsa-miR-3184-5p,1
hsa-miR-3185,1
hsa-miR-3186-5p,1
hsa-miR-3187-5p,1
hsa-miR-3188,1
